time,version,comments,class
2019-10-27 19:34:39,9.0.0.10,垃圾,bad
2019-10-27 11:10:26,11.13.5.12,垃圾，每次一点开广场舞的视频就自己播放了，我把手机一打开都是百度广告，删了,bad
2019-10-25 16:30:32,11.15.0.12,占用空间太大。,good
2019-10-22 11:07:41,11.15.0.12,垃圾百度，全是广告，查个资料都有钱，交了钱还下载不了，能下载的打不开，太差了，我第一次给差评就给百度，第一次发评论就是给百度，第一次打一星就是给百度。垃圾,bad
2019-10-13 08:48:48,11.13.8.10,为什么每次一搜完，切换了界面后回去就又重新进入，而且还总是无故就又重新进入,good
2019-10-13 07:01:06,11.13.8.10,很好！谢谢！微信一下打不开！开装,best
2019-10-11 18:27:13,11.13.8.10,占用空间太大,good
2019-10-09 16:04:38,11.13.8.10,我用3年的号被封了，理由都没有一个，申诉没有用。百度抽风的次数太多了，并且被封号申诉基本没用。说实话，建议能不用百度时就少用吧，账号莫名其妙被封就当你认识百度的作风了。,bad
2019-10-09 15:08:30,11.13.8.10,无故封号，百毒太恶心了，系统无故把我3年的贴吧账号封号了，说是违反了，那你有种把哪个帖子违反了发出来啊！不给原因就封号。而且申诉还要强制下载这个百毒的app，不下就不给申诉，真t嘛垃圾恶心。,best
2019-10-09 14:43:20,11.13.8.10,一星都不想给，百毒太恶心了，系统无故把我3年的贴吧账号封号了，说是违反了，那你有种把哪个帖子违反了发出来啊！不给原因就强制删除。而且申诉还要强制下载这个百毒的app，不下就不给申诉，真t嘛垃圾恶心。,bad
2019-10-08 18:42:16,11.13.8.10,你查个英语会给你标出音乐符号来随便一下都是什么广告，还有木马软件。,good
2019-10-07 09:23:09,11.13.8.10,我觉得还行(我不要你觉得我只要我觉得),best
2019-10-07 03:28:09,11.13.8.10,一个月发一个贴子！！！说我水贴过多发贴过快！！可以啊，一天打一个字都比我快好吗！！！贴吧用户注意了，以后两个月发一次贴子啊，一个月发一个太快了，分分钟被封！,bad
2019-10-07 03:25:28,11.13.8.10,在百度上面一天发一个贴子！！！说我水贴过多发贴过快！！可以啊，一小时打一个字都比我快好吗！！！贴吧用户注意了，以后一星期发一次贴子啊，一天发一个太快了，分分钟被封！,best
2019-10-04 11:11:20,11.13.8.10,拍照搜题的时候，你拍这个搜出来的却是另一个。,good
2019-10-04 09:09:27,11.13.8.10,还没用，先给个五星,best
2019-10-03 07:29:49,11.13.8.10,方便下载视频,best
2019-09-30 15:21:47,11.13.5.13,垃圾百度，每次打开都要弹出广告！！！,bad
2019-09-29 01:13:49,11.3.6.11,总是跳转支付宝，一直弹窗让你下载东西！垃圾软件！早就想卸载了,bad
2019-09-24 17:07:35,11.13.5.13,这是一个沙雕程序，一个2G的亡者农药都不卡，你一个几十M的百度程序卡得一逼。这优化是入地进坟了。,bad
2019-09-19 11:32:07,11.8.0.10,很不错，搜锁的内容很多，很全面，选择性比较强。,best
2019-09-12 21:51:18,11.13.0.10,这个非常的好用，什么都知道点赞,best
2019-09-12 16:07:32,11.13.0.10,百度很实用。,best
2019-09-10 13:24:07,11.13.0.10,"老是闪退，不知道是手机的问题还是什么
⊙_⊙",best
2019-09-09 14:58:43,11.13.0.10,百度浏览器太恶心了吧，垃圾东西太多，果断卸载,bad
2019-08-31 08:47:05,11.13.0.10,太好用了。,best
2019-08-26 19:56:02,11.12.0.10,百度搜索现在怎么了，不如以前了，我查东你给我来西，工业和吃的能对得上吗，是不是雇用新人了，搞的驴唇不对马嘴,best
2019-08-26 19:39:49,11.12.0.10,能不能让人查啥找啥，别搞些没用我查东你说西让人脑火,best
2019-08-24 17:22:10,11.12.0.10,5星好评,best
2019-08-23 18:03:32,11.12.0.10,因为好，所以五星好评。,best
2019-08-20 10:12:58,11.12.0.10,好评的同意隐私,best
2019-08-19 17:11:51,11.12.0.10,什么都可以搜到太棒了！,best
2019-08-19 11:23:29,11.12.0.10,商业化太严重，无时无刻不在推销自己，保存个图片还保存到了百度上，也不能一起转发到手机或QQ，只能一张一张的发到QQ上再保存到手机里，图片控表示绝对差评！！！,bad
2019-08-19 08:26:25,11.12.0.10,中评的崩溃下载视频,best
2019-08-18 10:09:34,11.12.0.10,还不如以前，广告多，搜索不好用,bad
2019-08-17 19:39:42,11.12.0.10,"五星好评
!!",best
2019-08-16 07:53:55,11.12.0.10,广告越来越多了，文章页面有广告就算了，回答页面有广告我也忍了。但为什么刚进去就有广告？为什么有这么多广告还说无广告？360竟然开始骗人了，几个意思？,bad
2019-08-13 23:20:48,11.12.0.10,越来越不人性化了，看视频锁住我拉通知栏结果标题和作者都显现了，我点屏幕还不能收回去，往下滑直接就下个视频了，搜索引擎也是，最上面搞什么热点新闻，真的很烦人,good
2019-08-13 12:39:19,11.12.0.10,百度APP依旧滴好评吖,best
2019-08-10 09:24:15,7.1,五星好评，百度，你值得拥有,best
2019-08-09 17:18:13,11.12.0.10,卡五星好评。,best
